id,prompt,category,hum_points,sound_points,draw_points,mime_points,hum_fit,sound_fit,draw_fit,mime_fit,representability,clear_target,audience_fit,rights_safety,accidental_giveaway,status,notes
C014,DOLPHIN,Animals,2,1,1,1,M,H,H,H,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C015,WHALE,Animals,2,1,1,1,M,H,H,H,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C016,OWL,Animals,2,1,1,1,M,H,H,H,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C017,WOLF,Animals,2,1,1,1,M,H,H,H,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C018,BEE,Animals,2,1,1,1,M,H,H,H,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C019,SHEEP,Animals,2,1,1,1,M,H,H,H,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C020,MOUSE,Animals,2,1,1,1,M,H,H,H,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C021,TRAIN,Transport,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C022,HELICOPTER,Transport,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C023,MOTORCYCLE,Transport,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C024,BICYCLE,Transport,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C025,ROCKET,Transport,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C026,AIRPLANE,Transport,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C027,BOAT,Transport,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C028,SUBMARINE,Transport,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C029,TRACTOR,Transport,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C030,AMBULANCE,Transport,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C031,BUS,Transport,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C032,SCOOTER,Transport,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C033,SKATEBOARD,Transport,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C034,CAR,Transport,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C035,TAXI,Transport,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C036,THUNDER,Weather/Nature,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C037,RAIN,Weather/Nature,1,1,1,2,H,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,No obvious desk-review issue
C038,WIND,Weather/Nature,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C039,TORNADO,Weather/Nature,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C040,VOLCANO,Weather/Nature,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C041,OCEAN,Weather/Nature,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C042,SNOW,Weather/Nature,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C043,SUNSHINE,Weather/Nature,1,2,1,2,H,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,No obvious desk-review issue
C044,LIGHTNING,Weather/Nature,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C045,RIVER,Weather/Nature,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C046,WATERFALL,Weather/Nature,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C047,FIRE,Weather/Nature,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C048,ICE,Weather/Nature,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C049,TREE,Weather/Nature,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C050,FLOWER,Weather/Nature,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C051,CLOCK,Objects/Home,3,2,1,2,L,M,H,M,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C052,DOORBELL,Objects/Home,3,1,1,2,L,H,H,M,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C053,HAMMER,Objects/Home,3,2,1,2,L,M,H,M,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C054,VACUUM,Objects/Home,3,1,1,2,L,H,H,M,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C055,CAMERA,Objects/Home,3,2,1,2,L,M,H,M,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C056,ZIPPER,Objects/Home,3,1,1,2,L,H,H,M,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C057,MICROWAVE,Objects/Home,3,1,1,2,L,H,H,M,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C058,BLENDER,Objects/Home,3,1,1,2,L,H,H,M,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C059,TELEPHONE,Objects/Home,3,1,1,2,L,H,H,M,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C060,KEYBOARD,Objects/Home,3,2,1,2,L,M,H,M,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C061,PRINTER,Objects/Home,3,1,1,2,L,H,H,M,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C062,SHOWER,Objects/Home,3,1,1,2,L,H,H,M,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C063,KETTLE,Objects/Home,3,1,1,2,L,H,H,M,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C064,TOASTER,Objects/Home,3,1,1,2,L,H,H,M,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C065,FAN,Objects/Home,3,1,1,2,L,H,H,M,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C066,UMBRELLA,Objects/Home,3,2,1,2,L,M,H,M,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C067,PILLOW,Objects/Home,3,2,1,2,L,M,H,M,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C068,LADDER,Objects/Home,3,2,1,2,L,M,H,M,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C069,SCISSORS,Objects/Home,3,2,1,2,L,M,H,M,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C070,MIRROR,Objects/Home,3,2,1,2,L,M,H,M,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C071,DRUM,Music/Sound,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C072,PIANO,Music/Sound,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C073,TRUMPET,Music/Sound,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C074,GUITAR,Music/Sound,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C075,VIOLIN,Music/Sound,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C076,MARACAS,Music/Sound,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C077,TROMBONE,Music/Sound,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C078,KAZOO,Music/Sound,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C079,WHISTLE,Music/Sound,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C080,APPLAUSE,Music/Sound,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C081,SIREN,Music/Sound,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C082,ALARM,Music/Sound,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C083,ECHO,Music/Sound,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C084,BELL,Music/Sound,1,1,1,2,H,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,No obvious desk-review issue
C085,RATTLE,Music/Sound,2,1,1,2,M,H,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C086,SNEEZE,Actions/People,3,1,2,1,L,H,M,H,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C087,HICCUP,Actions/People,3,1,2,1,L,H,M,H,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C088,COUGH,Actions/People,3,1,2,1,L,H,M,H,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C089,LAUGH,Actions/People,3,1,2,1,L,H,M,H,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C090,CRYING,Actions/People,3,1,2,1,L,H,M,H,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C091,SNORING,Actions/People,3,1,2,1,L,H,M,H,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C092,YAWN,Actions/People,3,2,2,1,L,M,M,H,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C093,JUGGLE,Actions/People,3,2,1,1,L,M,H,H,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C094,SWIM,Actions/People,3,2,2,1,L,M,M,H,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C095,DANCE,Actions/People,3,2,2,1,L,M,M,H,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C096,SLEEP,Actions/People,3,2,2,1,L,M,M,H,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C097,CLIMB,Actions/People,3,2,2,1,L,M,M,H,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C098,SKATE,Actions/People,3,2,2,1,L,M,M,H,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C099,CRAWL,Actions/People,3,2,2,1,L,M,M,H,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C100,WAVING,Actions/People,3,2,2,1,L,M,M,H,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C101,CLAP,Actions/People,3,1,2,1,L,H,M,H,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C102,RUN,Actions/People,3,2,2,1,L,M,M,H,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C103,JUMP,Actions/People,3,2,2,1,L,M,M,H,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C104,TIPTOE,Actions/People,3,2,2,1,L,M,M,H,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C105,STRETCH,Actions/People,3,2,2,1,L,M,M,H,REVIEW_AUDIO,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,HOLD_AUDIO_RISK,HUM association may be weak
C106,POPCORN,Food,2,3,1,2,M,L,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association; SOUND route may be weak
C107,PIZZA,Food,2,3,1,2,M,L,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association; SOUND route may be weak
C108,BANANA,Food,2,3,1,2,M,L,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association; SOUND route may be weak
C109,APPLE,Food,2,3,1,2,M,L,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association; SOUND route may be weak
C110,ICECREAM,Food,2,3,1,2,M,L,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association; SOUND route may be weak
C111,SPAGHETTI,Food,2,3,1,2,M,L,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association; SOUND route may be weak
C112,BURGER,Food,2,3,1,2,M,L,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association; SOUND route may be weak
C113,PANCAKE,Food,2,3,1,2,M,L,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association; SOUND route may be weak
C114,COOKIE,Food,2,3,1,2,M,L,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association; SOUND route may be weak
C115,LEMON,Food,2,3,1,2,M,L,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association; SOUND route may be weak
C116,CARROT,Food,2,3,1,2,M,L,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association; SOUND route may be weak
C117,CORN,Food,2,3,1,2,M,L,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association; SOUND route may be weak
C118,SOUP,Food,2,3,1,2,M,L,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association; SOUND route may be weak
C119,SANDWICH,Food,2,3,1,2,M,L,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association; SOUND route may be weak
C120,CUPCAKE,Food,2,3,1,2,M,L,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association; SOUND route may be weak
C121,GHOST,Places/Things,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association; Strong theme/association; watch clue convergence
C122,ROBOT,Places/Things,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association; Strong theme/association; watch clue convergence
C123,BABY,Places/Things,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C124,BALLOON,Places/Things,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C125,BUBBLES,Places/Things,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C126,FIREWORKS,Places/Things,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association; Strong theme/association; watch clue convergence
C127,CASTLE,Places/Things,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C128,BEACH,Places/Things,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C129,CIRCUS,Places/Things,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C130,SCHOOL,Places/Things,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
C131,HOSPITAL,Places/Things,2,2,1,2,M,M,H,M,PASS_CANDIDATE,PASS,PASS_CANDIDATE,GENERIC_TERM,CHECK_IN_PLAY,PROPOSED_CORE,HUM depends on player song association
